,nowcast
2024-04-05,1.5184470694773615
2024-04-12,1.518499098534497
2024-04-19,1.5184358708466208
2024-04-26,1.5184358708466208
2024-05-03,1.4910865882449427
2024-05-10,1.4914540902042548
2024-05-17,1.4916112451742993
2024-05-24,1.4916112451742993
2024-05-31,1.4877223571655005
2024-06-07,0.5475528034642902
2024-06-14,1.0607884510969778
2024-06-21,1.0624719923517076
2024-06-28,1.0624719923517076
2024-07-05,1.0068020565871194
2024-07-12,0.5268432862369741
2024-07-19,0.4660254701379934
2024-07-26,0.4660254701379934
2024-08-02,0.5501164336470152
2024-08-09,0.5448240839921232
2024-08-16,0.5427207193716761
2024-08-23,0.5427229942497289
2024-08-30,0.5427985464593981
2024-09-06,0.47944291173978665
2024-09-13,0.4830944132398193
2024-09-20,0.4836632188159032
2024-09-27,0.4836632188159032
