,nowcast
2026-01-02,0.6975017891129908
2026-01-09,0.7932058163694294
2026-01-16,0.794863210869936
2026-01-23,0.794863210869936
2026-01-30,0.7620619042110116
2026-02-06,1.0208513407809419
2026-02-13,0.7561801640352018
2026-02-20,0.8863795983007923
2026-02-27,0.8863795983007923
2026-03-06,0.8627007480835096
2026-03-13,0.5292852199656812
2026-03-20,0.4209842608112565
2026-03-27,0.4209842608112565
2026-04-03,0.3335265566585245
2026-04-10,0.5545892948768948
2026-04-17,0.5529687848945306
2026-04-24,0.5529687848945306
2026-05-01,0.5529717785607127
2026-05-08,0.5529826394715447
2026-05-15,0.5524432734835711
