,nowcast
2025-10-03,0.38279101304910385
2025-10-10,0.3767655499645568
2025-10-17,0.3776674311018005
2025-10-24,0.3776674311018005
2025-10-31,0.1967382044164443
2025-11-07,0.21798736125063556
2025-11-14,0.4665869381115315
2025-11-21,0.46735385932485923
2025-11-28,0.46735385932485923
2025-12-05,0.42209072363547073
2025-12-12,0.31477862602306556
2025-12-19,0.3026215619687457
2025-12-26,0.3026215619687457
2026-01-02,0.1894875883629133
2026-01-09,0.31151104413678343
2026-01-16,0.3246249642247476
2026-01-23,0.32463698407011066
2026-01-30,0.30875918150686255
2026-02-06,0.3312528219370967
2026-02-13,0.33474400794180054
2026-02-20,0.33464915950690755
2026-02-27,0.33464915950690755
2026-03-06,0.36130107324104754
2026-03-13,0.3613171060374443
2026-03-20,0.3616969360902603
2026-03-27,0.3616969360902603
