,nowcast
2025-01-03,1.53236439497334
2025-01-10,1.5322389150837679
2025-01-17,1.5321608410817644
2025-01-24,1.5321608410817644
2025-01-31,1.5322960166326203
2025-02-07,1.4428338562764358
2025-02-14,1.4431562035477443
2025-02-21,1.4431968503759027
2025-02-28,1.4431035997796284
2025-03-07,0.36626134087764545
2025-03-14,0.5122469549839375
2025-03-21,0.7218731763695457
2025-03-28,0.7218731763695457
2025-04-04,0.7183380176353621
2025-04-11,0.8912971025903313
2025-04-18,0.9450863374272823
2025-04-25,0.9450863374272823
2025-05-02,0.9784360165356228
2025-05-09,0.9784401143666206
2025-05-16,0.9735902735088102
2025-05-23,0.9735866895111536
2025-05-30,0.9733451428036057
2025-06-06,0.901555505522106
2025-06-13,0.9058201628680463
2025-06-20,0.9114349611780739
2025-06-27,0.9114349611780739
