,nowcast
2026-01-02,1.5383310670261134
2026-01-09,1.5382269453572146
2026-01-16,1.538165920983007
2026-01-23,1.5381692509925489
2026-01-30,1.5381631747297466
2026-02-06,1.4266408515758675
2026-02-13,1.4269388609808766
2026-02-20,1.4269882176771649
2026-02-27,1.4269588725849247
2026-03-06,0.43029199367423365
2026-03-13,0.31954574029449867
2026-03-20,0.2336996096353927
2026-03-27,0.2336996096353927
2026-04-03,0.2782279444157104
2026-04-10,0.5352397918636838
2026-04-17,0.5533128727931782
2026-04-24,0.5533128727931782
2026-05-01,0.4711131494436384
2026-05-08,0.47113337485345297
2026-05-15,0.47058516321332733
2026-05-22,0.47058516321332733
2026-05-29,0.47058516321332733
2026-06-05,0.5245949340734515
2026-06-12,0.5252705641949944
2026-06-19,0.5253077187141988
2026-06-26,0.5253077187141988
