date,ip_total,ip_manuf,retail_vol,construction,exports_vol,imports_vol,unemp_rate,services_iaf,services_H,services_J,services_N,real_wage_bill,hicp,esi_sk,ind_conf_sk,cons_conf_sk,esi_de,esi_ea,bond_10y,eur_usd
2013-11,-2.5429329015930077e-29,-2.794602029652382e-29,-1.861443557418632e-29,-6.81045642601947e-30,-1.8751057697681387e-29,-2.6477447789853883e-29,6.278005949526023e-30,-8.134699814453003e-30,-2.632386145506107e-29,-3.965510614054994e-30,-7.531546976996645e-30,-3.5290238964883516e-30,7.398234349433039e-32,-4.6789025025931585e-30,-7.996942117412175e-30,-3.215316943005599e-30,-1.3473796894849764e-29,-1.0941236361481975e-29,4.048631215789528e-30,2.892694085328415e-31
2013-12,-5.634606775964103e-29,-6.213646533415822e-29,-4.115719520723018e-29,-1.437395154721544e-29,-4.4837037242273327e-29,-6.126489694369418e-29,2.649361174203499e-29,-2.193937857126534e-29,-5.638451058666862e-29,-8.17598382529772e-30,-1.802323896966244e-29,-7.949804384084855e-29,2.5640646834755654e-31,-7.010066806710518e-29,-3.655297452044519e-29,-8.182703813209315e-29,-3.7405830214250987e-28,-2.948171324647406e-28,1.263550084516303e-29,8.87043740693242e-31
2014-01,-4.9368360135601336e-29,-5.472253170819241e-29,-3.5944256928886766e-29,-1.1653248434833023e-29,-4.360158120585944e-29,-5.708640702786425e-29,3.9730413092828393e-29,-2.4361206348932214e-29,-4.685058430867512e-29,-6.361748959978585e-30,-1.7543651838305836e-29,-1.6374647233346795e-28,3.460497582879516e-31,-1.3983213924230066e-28,-5.674924503921128e-29,-1.6975682906880274e-28,-7.795759171271638e-28,-6.134933019772247e-28,1.588130441264878e-29,1.1002317960263682e-30
2014-02,2.9037888671115583e-29,3.1758458149636296e-29,2.1319319046964992e-29,8.290230191598647e-30,1.9056125862081596e-29,2.8374793166116564e-29,1.844867628570077e-30,6.484836619185211e-30,3.145169972259379e-29,4.96575505001372e-30,7.644050665436995e-30,-4.7317177829611654e-29,-1.823472171844099e-32,-3.744711389876493e-29,-4.359604391251821e-30,-4.9841722905948095e-29,-2.3118473095195247e-28,-1.8133202679276595e-28,-1.9980245244618727e-30,-1.5403611427555228e-31
2014-03,1.3034346599145044e-28,1.4342921988469428e-28,9.53353674822114e-29,3.4285720384466576e-29,9.897041953116971e-29,1.3797214999206859e-28,-4.311396736910248e-29,4.509798118168187e-29,1.33239518183358e-28,1.9795315488656814e-29,3.976461107957658e-29,8.037846401000388e-29,-4.595763507679607e-31,7.589179166951387e-29,5.735657605969724e-29,8.139848443104155e-29,3.6818073154105327e-28,2.9121433495775924e-28,-2.3936703873960705e-29,-1.696562444360905e-30
2014-04,1.9378042738731002e-28,2.1357738050479634e-28,1.4159254076262184e-28,4.9825094883652295e-29,1.5240304272352923e-28,2.0927843285820345e-28,-8.424059392689275e-29,7.331347435985959e-29,1.9497443605492578e-28,2.845177343464993e-29,6.125468653252003e-29,2.342453998296533e-28,-8.312911638197906e-31,2.0845235859613988e-28,1.154212459107137e-28,2.4060303288718525e-28,1.0983934079913917e-27,8.660972835050597e-28,-4.145297410960551e-29,-2.9162096454210164e-30
2014-05,1.4926363570086127e-28,1.6492285806308109e-28,1.0889509404200486e-28,3.700494011483915e-29,1.2369711215515155e-28,1.6617946236232091e-28,-8.901347162099542e-29,6.397680830305254e-29,1.4645675296926746e-28,2.074459086429048e-29,4.9742207144438846e-29,3.1786278438421287e-28,-8.176279003103811e-31,2.750923035617128e-28,1.250153400228665e-28,3.2855804594683094e-28,1.5060072127817931e-27,1.1859050679893182e-27,-3.895621850881523e-29,-2.7180935425058025e-30
2014-06,-5.109069737529853e-29,-5.455353521025118e-29,-3.805788733981016e-29,-1.902061012050497e-29,-1.317790688824791e-29,-3.3857065870972085e-29,-8.111025865234848e-29,1.2814202293236022e-29,-6.736524258948955e-29,-1.2516435472701014e-29,-5.188746367445634e-30,5.268072851326413e-28,-5.401764472444072e-31,4.355226416988356e-28,1.2421404091172517e-28,5.499626146029857e-28,2.5367292308668327e-27,1.993387294126657e-27,-1.9161457403481724e-29,-1.2517748195042644e-30
2014-07,-5.051369601396752e-28,-5.528677189024595e-28,-3.7069911410561216e-28,-1.4286083345540063e-28,-3.3771132888181782e-28,-4.985087317576682e-28,-8.313193704936375e-30,-1.2020682848380664e-28,-5.434538911266858e-28,-8.522898311850866e-29,-1.3549706270478534e-28,6.876580259707624e-28,4.919752170327898e-31,5.385352500742642e-28,4.0246398132356413e-29,7.2585937474028935e-28,3.371148077204054e-27,2.6430698215445174e-27,4.1682722929397064e-29,3.1446402502623333e-30
2014-08,-1.2257552342462696e-27,-1.3502847461653981e-27,-8.959293575401852e-28,-3.1749860230314636e-28,-9.533270578745356e-28,-1.3153428678763575e-27,4.919372354986702e-28,-4.510112204369559e-28,-1.2396295949137534e-27,-1.8195774301088746e-28,-3.8312386659892214e-28,-1.2485837227512494e-27,4.9575409872265654e-30,-1.1242818464378673e-27,-6.688402267318654e-28,-1.2789630303167718e-27,-5.82836056635129e-27,-4.598452786125171e-27,2.50291231408816e-28,1.7646062373790435e-29
2014-09,-1.3305079134187111e-27,-1.473723734343704e-27,-9.69167757888795e-28,-3.1768790787331036e-28,-1.1584507251255742e-27,-1.525377371974065e-27,1.0070956958303217e-27,-6.367435851623658e-28,-1.2724862968155779e-27,-1.745432322810416e-28,-4.6605826665807155e-28,-4.050408547553868e-27,8.858363569897808e-30,-3.4663400512772734e-27,-1.4341387794702282e-27,-4.1970908025670025e-27,-1.9268542867792588e-26,-1.5165045399298268e-26,4.094698840674105e-28,2.840685952832772e-29
2014-10,5.048095481366097e-28,5.339647416823447e-28,3.781299042565449e-28,2.0488455667825655e-28,5.242574502619441e-29,2.7312096921004705e-28,1.0990253638205646e-27,-2.1919834017950934e-28,7.115829234104668e-28,1.3811586800349868e-28,1.9695712314685674e-29,-6.900499952028356e-27,7.52451341218377e-30,-5.7160251460725624e-27,-1.6727537137918194e-27,-7.200814168474152e-27,-3.320544735487302e-26,-2.609542836466446e-26,2.760003893477193e-28,1.8188579756624602e-29
2014-11,5.229047912748865e-27,5.754114143464242e-27,3.824571157752647e-27,1.3751238133094974e-27,3.971964693314018e-27,5.536294120246553e-27,-1.7354517932132525e-27,1.8110296520828495e-27,5.3443297217479876e-27,7.938547017485821e-28,1.5958733470388234e-27,3.2577855088906845e-27,-1.8479874335404584e-29,3.0722577993406334e-27,2.3097246575904665e-27,3.300107096177267e-27,1.4929931113150564e-26,1.1808125190024017e-26,-9.61977278330242e-28,-6.817576681907387e-29
2014-12,8.33454369881549e-27,9.206266932050335e-27,6.081552809803431e-27,2.0751562097030108e-27,6.866195697340476e-27,9.246895702908537e-27,-4.8143128560252435e-27,3.523788527661478e-27,8.20191046276991e-27,1.1659029744595472e-27,2.7609425741707437e-27,1.6860093929478396e-26,-4.450799314301964e-29,1.4619980316580383e-26,6.747083453034424e-27,1.7419801353519008e-26,7.982472353035844e-26,6.286377759532821e-26,-2.1297948845836818e-27,-1.4872133801180564e-28
2015-01,3.381348735323901e-27,3.8081381242514514e-27,2.4370537387376432e-27,5.969479748033918e-28,3.9097651963146375e-27,4.639010600036615e-27,-6.254307025292176e-27,2.767711479065888e-27,2.6631514148026123e-27,2.642387148651697e-28,1.5764261930104962e-27,3.1341614377537556e-26,-4.966791766419591e-29,2.63496143029751e-26,9.175029637846711e-27,3.2602400582517646e-26,1.5004205909859428e-25,1.1799260266918616e-25,-2.1167063191972584e-27,-1.4445387997870025e-28
2015-02,-1.4959091060813947e-26,-1.644312777168012e-26,-1.0948678254571324e-26,-3.9943885738627826e-27,-1.1085316042224807e-26,-1.5618919371550776e-26,3.902759276937239e-27,-4.8505528064746e-27,-1.5452925459431395e-26,-2.3225803573869132e-27,-4.452759638630405e-27,-3.270268754554211e-27,4.5061771724594846e-29,-3.74767021725749e-27,-5.0180875167681226e-27,-3.1361135870222696e-27,-1.3661101705756748e-26,-1.0944505637955344e-26,2.4427111347656034e-27,1.742661590314982e-28
2015-03,-3.161799627694267e-26,-3.4874374706567547e-26,-2.3091960962561477e-26,-8.041812280284526e-27,-2.526986551493965e-26,-3.4465022634279287e-26,1.5287638603942955e-26,-1.2442033274829584e-26,-3.157453222433444e-26,-4.5674300040453326e-27,-1.0158215577908637e-26,-4.7007886332391754e-26,1.4697410060473156e-28,-4.1334953061458845e-26,-2.1141490519384098e-26,-4.84159650258094e-26,-2.214160835238315e-25,-1.7448705507177896e-25,7.21289596970202e-27,5.059892521918479e-28
