,nowcast
2024-01-05,0.712566517310837
2024-01-12,0.6134218730920613
2024-01-19,0.6134342805911932
2024-01-26,0.6134342805911932
2024-02-02,0.4572799208087681
2024-02-09,0.5840319594142828
2024-02-16,0.5541881993139227
2024-02-23,0.5499432312913712
2024-03-01,0.446751323921934
2024-03-08,0.4325038043481809
2024-03-15,0.26975501035310673
2024-03-22,0.26570347375965003
2024-03-29,0.26570347375965003
2024-04-05,0.08268268300207832
2024-04-12,0.16681413061516764
2024-04-19,0.18961347536629863
2024-04-26,0.18961347536629863
2024-05-03,0.1876175563636331
2024-05-10,0.18664350614470027
2024-05-17,0.18660312187202022
2024-05-24,0.18660312187202022
2024-05-31,0.4526451098415703
2024-06-07,0.45284862117671604
2024-06-14,0.44867751961838187
2024-06-21,0.44867705643983447
2024-06-28,0.44867705643983447
