weeks_rel_quarter_end,rmse
-13,3.915132991540877
-12,1.842522566679505
-11,1.8695752597666622
-10,1.8734494272247226
-9,1.3570608553402337
-8,1.3692891217606722
-7,1.900849143028805
-6,1.9012067816519889
-5,1.898637885128059
-4,1.2722067735373512
-3,1.5919372601258164
-2,1.6805802449161644
-1,1.6826839465193186
0,1.7003398409225978
1,1.099164113375774
2,1.1788949141366527
3,1.1848981169240853
4,1.1419673318879104
5,1.1422200577010215
6,1.1710285613290232
7,0.4782465818075849
