series,loading,sigma2,idio_ar1,idio_level_var,sn_weight
ip_total,-0.31480056139582024,0.49358385279092937,-0.37264282442529234,0.5731767027508309,0.17289501296811027
ip_manuf,-0.3153197365602854,0.48834689740646237,-0.4112076217823035,0.5877265905669611,0.1691714104147205
retail_vol,-0.2092335260403077,0.7487276070776095,-0.2193089458428445,0.7865582374879749,0.05565852130552433
construction,-0.1000549369414603,0.9193037859341346,-0.2416234456175697,0.9763021501559175,0.01025398787123517
exports_vol,-0.3307632284691056,0.3642781373275655,-0.3594322504980486,0.4183217724552608,0.2615314824881759
imports_vol,-0.318427199446241,0.3853909979850568,-0.42280140657089277,0.4692799681713874,0.2160669285379447
unemp_rate,0.13471309579901933,0.508796557697203,0.6896897632237352,0.9703783282533184,0.018701590556357006
ip_de,-0.3609351153656046,0.25177621486556434,-0.4453620287220317,0.3140714506034673,0.4147914662528835
ip_de_auto,-0.3367144019975541,0.3202814004701067,-0.4673781629890606,0.40979881565827425,0.2766640219065779
ip_ea,-0.36418637365811435,0.24729926246911144,-0.31202289158704877,0.273972782694499,0.4841054408902448
services_iaf,-0.16694768096256665,0.8440740400503496,-0.18992556224847645,0.8756606241968468,0.03182914408689168
hicp,0.011765284394400926,0.9524148844178546,0.18445654646145856,0.9859614513160807,0.00014039282843803443
esi_sk,-0.1565616062473463,0.2384854074008558,0.8676031070646207,0.9644937755598924,0.025413887753210292
ind_conf_sk,-0.19213210693836877,0.4503495792614199,0.7052477699880956,0.895994144665315,0.04119976311939596
cons_conf_sk,-0.04391004684916975,0.09975084584405762,0.9498124677977351,1.019360739088128,0.0018914719199613892
esi_de,-0.11606320452617593,0.08749561380134313,0.951113820867727,0.9173130713353224,0.014684918231107123
esi_ea,-0.14362861644135455,0.1265807951151692,0.9337855498639548,0.9885684178987918,0.020867730636899354
bond_10y,0.076107377875771,0.8188152296173686,0.38254967726930006,0.9591866920225433,0.00603879621694049
eur_usd,-0.034131135176568295,0.9054951413812841,0.2958127723010973,0.9923290934550654,0.0011739395691656481
gdp_qoq,-0.06194824618243449,0.047350121450447175,-0.8618995305024456,0.18414914204894076,0.02083954973876341
