q,flash,nowcast,err
2020Q1,-5.29323331029623,1.2816469689727554,6.574880279268986
2020Q2,-8.666988932250774,-6.53678176393459,2.1302071683161845
2020Q3,11.012427410197745,6.419539932558975,-4.59288747763877
2020Q4,0.24131044768651577,1.8083365254571095,1.5670260777705938
2021Q1,-2.0410215955688926,0.7894441706772906,2.830465766246183
2021Q2,1.9901098730834121,0.09448522397322756,-1.8956246491101845
2021Q3,0.37379216744959365,0.37004978914860676,-0.0037423783009868927
2021Q4,0.34750278376129984,1.2280821998307359,0.880579416069436
2022Q1,0.3593524792186997,1.4630130270250696,1.10366054780637
2022Q2,0.4521012007423053,0.730197674477273,0.2780964737349677
2022Q3,0.3563432620424578,0.7963891379318067,0.44004587588934885
2022Q4,0.2692812206472439,0.6091563573764216,0.3398751367291777
2023Q1,0.26012685588092666,1.3352793859782381,1.0751525300973115
2023Q2,0.39634175030691665,0.6307016772437528,0.23435992693683616
2023Q3,0.246195292338669,0.07696151859361466,-0.16923377374505433
2023Q4,0.34717357238278623,0.443196324599368,0.09602275221658174
2024Q1,0.6683729987553733,0.5482696620961827,-0.1201033366591906
2024Q2,0.40656492796173893,0.4842978766066712,0.07773294864493224
2024Q3,0.2966365021926265,0.9504449793673334,0.6538084771747069
2024Q4,0.4979516008571494,0.6795764775248294,0.18162487666768
2025Q1,0.1893760781737086,0.898539864172196,0.7091637859984874
2025Q2,0.1067063153548986,0.7500788176217368,0.6433725022668382
2025Q3,0.2526746172367922,0.2662323686217847,0.013557751384992489
2025Q4,0.25690348900084814,0.9636789676203028,0.7067754786194547
2026Q1,0.20365381131632887,0.5386017161141142,0.33494790479778536
