,nowcast
2025-10-03,0.3956781221672737
2025-10-10,0.39035603227274007
2025-10-17,0.3912216009521233
2025-10-24,0.3912216009521233
2025-10-31,0.21137322724616542
2025-11-07,0.22731381024752345
2025-11-14,0.42391446432697094
2025-11-21,0.42409730604577645
2025-11-28,0.44767932438286007
2025-12-05,0.4051009971522776
2025-12-12,0.32172477000808963
2025-12-19,0.3116251046607059
2025-12-26,0.3194170143041997
2026-01-02,0.16860684687643324
2026-01-09,0.2587248134155851
2026-01-16,0.27018690564845865
2026-01-23,0.27019340209896536
2026-01-30,0.2716364593615736
2026-02-06,0.28857668664906877
2026-02-13,0.2910100491951455
2026-02-20,0.2909631767274209
2026-02-27,0.2914294511685361
2026-03-06,0.31363407454402037
2026-03-13,0.3140203703822126
2026-03-20,0.3142940845024875
2026-03-27,0.3142940845024875
