sector,model_weight_loading_%,model_weight_sn_%,actual_gva_share_%,gap_loading_pp,gap_sn_pp
Industry (B-E),40.0,53.7,34.9,5.1,18.8
Construction (F),4.8,1.2,13.2,-8.4,-11.9
"Trade, transp., acc. (G-I)",43.8,40.4,29.7,14.1,10.6
ICT (J),2.3,0.3,7.8,-5.5,-7.5
Prof. & admin (M_N),9.0,4.4,14.3,-5.3,-9.9
