ref,current,paper,quarter
2024-09-30,0.8587510341470412,0.9137305859831126,2025Q1
2024-10-31,0.8365172517960001,0.8960021372375193,2025Q1
2024-11-30,0.83053718846087,0.896789870110581,2025Q1
2024-12-31,0.45021765220802756,0.43247938963954924,2025Q1
2025-01-31,1.4299778279348077,1.377594651045672,2025Q1
2025-02-28,1.2727046367024346,1.2418530277010855,2025Q1
2025-03-31,1.3857648612489248,1.4047679842152587,2025Q1
2025-04-30,1.5350675744336186,1.441048072167864,2025Q1
2025-05-31,1.4626323053149524,1.371138166810692,2025Q1
2025-06-30,1.4614354369504707,0.8973431884789824,2025Q1
2024-12-31,0.837615768927323,0.8718414998884656,2025Q2
2025-01-31,0.7091769527750252,0.7350278353801921,2025Q2
2025-02-28,0.6556349541545383,0.716570323253355,2025Q2
2025-03-31,1.5243064699147943,1.4909532092463504,2025Q2
2025-04-30,0.06448118143015336,0.0733511600992226,2025Q2
2025-05-31,0.4145404009460301,0.5080495909075959,2025Q2
2025-06-30,0.461177673705643,0.6831140388036491,2025Q2
2025-07-31,0.33719038367534276,0.6143094023056288,2025Q2
2025-08-31,0.3247159464290082,0.5921816896540928,2025Q2
2025-09-30,0.3246402711202312,0.3874064986488842,2025Q2
2025-03-31,0.7412049924072439,0.7422849459694592,2025Q3
2025-04-30,0.9350852667315828,0.9443831598206728,2025Q3
2025-05-31,1.0490043312010076,1.0360664428696271,2025Q3
2025-06-30,0.7810082556656571,0.6203747057525848,2025Q3
2025-07-31,0.7473294935171438,0.5461005048662935,2025Q3
2025-08-31,0.2128286226442374,0.06700893369846117,2025Q3
2025-09-30,0.32430041528734604,0.17804681404998812,2025Q3
2025-10-31,0.36919297862153433,0.19580854170945106,2025Q3
2025-11-30,0.40038510827770546,0.2374987609887882,2025Q3
2025-12-31,0.4009843872013869,0.2566875080103169,2025Q3
2025-06-30,0.8172714392112933,0.9460834611654623,2025Q4
2025-07-31,0.8136162123816023,0.9522004799911823,2025Q4
2025-08-31,0.70081294905403,0.8661151852779259,2025Q4
2025-09-30,0.8788484632374242,0.9149425833083313,2025Q4
2025-10-31,0.7275210554886995,0.835006552239887,2025Q4
2025-11-30,1.0617156684664,1.1481153871820209,2025Q4
2025-12-31,0.7989676269854264,0.9594365004948153,2025Q4
2026-01-31,0.7998934933870565,0.9332657245505567,2025Q4
2026-02-28,0.770939923927221,0.8870803627165167,2025Q4
2026-03-31,0.7709893800407355,0.6404500120626118,2025Q4
