,nowcast
2024-04-05,0.524634789159589
2024-04-12,0.5618896111903822
2024-04-19,0.572783471560244
2024-04-26,0.572783471560244
2024-05-03,0.4567159672024915
2024-05-10,0.4241538208565168
2024-05-17,0.39320895354505403
2024-05-24,0.39320895354505403
2024-05-31,0.51302781038355
2024-06-07,0.5196097023405172
2024-06-14,0.7637393961387966
2024-06-21,0.7645228179908732
2024-06-28,0.7645228179908732
2024-07-05,0.6127907018936274
2024-07-12,0.603844639965707
2024-07-19,0.6049401708172002
2024-07-26,0.6049401708172002
2024-08-02,0.7734672082668949
2024-08-09,0.7728633747737346
2024-08-16,0.7729499686827064
2024-08-23,0.7729456232370369
2024-08-30,0.7729021042918792
2024-09-06,0.6800861372828786
2024-09-13,0.6821703344858311
2024-09-20,0.6822372798388915
2024-09-27,0.6822372798388915
