quarter,actual,v2,baseline
2010Q1,2.1,1.3321936196338,1.473522109467824
2010Q2,1.2,2.9680266510575537,3.100946557047137
2010Q3,1.2,1.722812537127962,2.0895534616181153
2010Q4,0.7,2.4702647091930467,2.6145903504736934
2011Q1,0.2,1.8052934597237114,1.851300793297348
2011Q2,0.7,0.8659217814216414,0.8726786059768956
2011Q3,0.5,0.7622289450503406,0.6036096332315413
2011Q4,0.8,0.7485306785931064,0.6068228611470543
2012Q1,0.3,0.7297312693637928,0.42810854096797013
2012Q2,0.2,1.2070827949114138,1.1412573500183527
2012Q3,0.1,0.9508937486831825,0.629277249586765
2012Q4,-0.1,-0.4676016256267985,-0.7727398854578549
2013Q1,0.0,0.30210893570890873,0.22371237630053264
2013Q2,0.3,1.8829563605424569,1.7835842499945096
2013Q3,0.5,0.7800560622934625,0.9313727757784982
2013Q4,0.6,0.706320548845007,0.9926643804598955
2014Q1,0.6,1.0240846959602867,1.289052453086096
2014Q2,0.8,1.1658857689232558,1.2680661538410412
2014Q3,1.0,1.1289551978357617,1.0525196596247244
2014Q4,1.1,1.22021220777734,1.1402928220471038
2015Q1,1.9,1.0091862671714802,1.1146298875822092
2015Q2,1.2,0.7526736496105964,1.0502703838491312
2015Q3,1.2,2.133910233061199,2.1784240437227194
2015Q4,0.7,1.0034215777592537,1.0389995890468176
2016Q1,0.0,1.0786730284599537,1.0210990736945293
2016Q2,0.2,1.2102025134561434,1.1892599898401448
2016Q3,0.4,0.013213874731156094,0.1377616402451477
2016Q4,0.6,1.3224877221746962,1.4013765726796001
2017Q1,0.7,0.7600397391461499,0.9002502057686375
2017Q2,0.9,1.4114042199495302,1.5504599366865581
2017Q3,0.8,0.9712110514552434,1.165788379341749
2017Q4,1.2,0.7853170089691327,1.0338982540203336
2018Q1,1.0,0.23131367668738123,0.4720688451633578
2018Q2,1.2,0.48452089056879866,0.4791908850176564
2018Q3,1.0,0.2491643982049131,0.3399293117662433
2018Q4,0.5,0.5150490702046226,0.5426077333857342
2019Q1,0.7,0.677065894745927,0.5823361605634663
2019Q2,0.2,0.2766179509117914,0.1365421121623125
2019Q3,0.3,-0.15207304951798306,-0.22082673734639224
2019Q4,0.6,0.5455873077420577,0.5674155909856102
2020Q1,-2.3,1.554432383603135,1.5082737055052977
2020Q2,-7.7,-16.33835946710519,-17.17540466757995
2020Q3,9.9,6.8652652757735515,7.401791106904434
2020Q4,0.8,2.059103985851071,1.7092458374584187
2021Q1,1.1,1.3051399233968264,1.0642524526777077
2021Q2,1.0,0.25684448999033926,0.7462702152518218
2021Q3,0.6,1.3039382642497954,1.549559797761283
2021Q4,0.3,1.110563021041069,1.1507824006436314
2022Q1,-0.3,1.1216334475917267,1.5948340994803423
2022Q2,-0.3,0.3446539524194461,0.25696709803089535
2022Q3,0.2,0.5239984488785026,0.19064957569524277
2022Q4,0.4,0.28485119752202415,0.26120550847976376
2023Q1,0.6,0.9288191560188043,0.8688038722002185
2023Q2,0.9,-0.05258891628006446,-0.32025921462435236
2023Q3,0.8,-0.3910054338372799,-0.30740044705727043
2023Q4,0.5,0.7561657223130964,0.61242593529874
2024Q1,0.6,0.32615570631800084,0.2927891829135415
2024Q2,0.3,0.9976609720423495,0.9688637712865792
2024Q3,0.1,0.5398328994052726,0.5188263245789504
2024Q4,0.3,0.6955161559426903,0.5752130432206273
2025Q1,0.1,1.030762425261812,0.6881059183494499
2025Q2,0.2,0.5975503199475884,0.6044632667085926
2025Q3,0.3,0.6793181159475112,0.6506301895689305
2025Q4,0.2,0.5648596543348953,0.6626820455021761
2026Q1,0.2,0.3334532767246141,0.24986812147792659
