,nowcast
2025-04-04,0.5039549438139632
2025-04-11,0.5806409480899751
2025-04-18,0.5791065060456417
2025-04-25,0.5666301994312775
2025-05-02,0.4056671624032897
2025-05-09,0.41934997512577654
2025-05-16,0.41094862780995123
2025-05-23,0.4111893506825378
2025-05-30,0.27940267168704114
2025-06-06,0.1812296765181972
2025-06-13,0.28453069761232197
2025-06-20,0.29355790690244205
2025-06-27,0.3264131991211317
2025-07-04,0.2911365563474615
2025-07-11,0.17968369065452533
2025-07-18,0.1892989164018412
2025-07-25,0.1803070939473394
2025-08-01,0.2102650158130624
2025-08-08,0.2102164040963519
2025-08-15,0.2114206882823424
2025-08-22,0.2114191514701465
2025-08-29,0.21169924626568537
2025-09-05,0.2665614998205986
2025-09-12,0.2662320161834062
2025-09-19,0.2663365144550646
2025-09-26,0.2661205428237316
