nace_r2,2025
A,2178.5
B-E,27923.7
C,22146.5
F,10508.7
G-I,23760.5
J,6247.9
K,4072.5
L,12665.2
M_N,11465.4
O-Q,20611.2
R-U,2966.9
TOTAL,122400.5
